correct_red,correct_green,correct_blue,rotten_red,rotten_green,rotten_blue,len_correct_part,len_rotten_part,class_fruit
127.8568633,83.24288387,38.0070066,200.1534082,144.2628002,65.92276337,1463967,885269,D
128.2072194,83.34578942,38.37905249,199.7775674,143.3737901,65.96211675,1495542,893504,D
128.8174863,83.66065536,37.81225795,199.8327247,143.5322033,65.11130329,1508705,912083,D
129.127225,83.88834355,37.39748834,200.1942613,143.5501229,64.12955073,1504910,909762,D
128.6455731,83.77167726,37.9537782,199.4138446,142.8186709,64.14594932,1512785,935235,D
109.76092031859483,85.58065448773858,45.04092045045016,181.9764061504745,174.27239419735997,105.12136329348542,1200981,1371963,C
152.36110435305955,123.97395195823155,57.11159795887679,206.78553347069703,180.6773015161084,95.13770551162625,1311695,2419748,C
153.0172051924282,124.62051358944211,57.19725568414661,206.71632442601776,180.71192969093175,95.27397922685168,1306785,2404919,C
151.994978518258,123.39833297062034,56.770467883922166,205.28900023168768,179.00835532027764,93.91991976712477,1301757,2417827,C
147.170121988766,119.26197195747844,56.82082206519294,206.03321191933165,179.45088117101017,94.81332978604762,1263108,2599382,C
152.29094589964282,118.21425596298401,48.59093003435814,209.13608438882693,164.20727549208547,84.66178846241,1316343,1852677,C
154.24410083010932,119.94965341909555,49.51156563453117,210.99345263183218,165.6521381404992,85.50398585185879,1296929,1790823,C
153.64219304643177,119.84372854846347,48.61726207205871,210.897617542889,165.89857880099564,85.21815230615714,1303777,1802451,C
147.64990556923019,105.56637810692908,46.68640743474424,209.404157760974,162.10961142003367,97.10022066604232,1903489,2108654,C
151.49623343260816,108.65310951220614,47.6330057793194,212.25438187830287,165.8751037247643,102.01707537389761,2009257,2029179,C
151.81160367831012,108.35229197560312,47.19714486383067,212.10960195862324,165.37265573052233,101.8482816423868,2021979,2018117,C
140.0780477503162,80.09267725051637,37.97262649636591,205.31102487272562,150.6369769611962,97.76708616505306,1377540,945852,C
133.92493503308722,75.2086486753447,41.73056913713106,196.34357649888653,151.39159503556027,95.86460679685867,1810403,1058679,C
134.52852849969926,75.10797225836335,41.708876039791726,194.26501842743392,149.63801589163484,93.9179379899919,1820858,1063131,C
134.92558151137365,75.26464927939074,41.27293530449569,196.3548628505742,151.1776898851242,94.36090910340934,1819681,1068640,C
143.1007264778199,93.9643159341475,46.2536757273903,206.15985286171164,173.6195374460193,97.86584272779714,969562,1515735,C
142.4135607936685,93.53178234478794,46.003165632831426,206.1392190379445,173.89145981647556,98.30282074540797,977699,1500507,C
138.9761208088007,90.26662652875916,44.88335340121663,206.2104873165937,173.95212470424215,98.33099082865078,996329,1517860,C
138.80542315150416,90.35600803202978,44.83988178340158,207.39607196213578,174.76196604461444,99.38571783134354,1005307,1529233,C
138.75062211942173,90.4702664176341,44.78938141803401,207.6396897661447,174.82434713527172,99.06021831130585,1003931,1527837,C
138.88093958690035,90.36042644542826,44.556777240874425,208.17515581544058,175.6651497677812,100.37808480011094,1016765,1529101,C
136.90058389042787,90.27784317250817,45.98832676265057,194.905272129311,168.67007333193058,102.84738874235744,2203363,2111396,C
137.08859121168285,90.79379081453469,46.099768371555186,194.9134886551428,168.7418106403453,102.55976421237162,2179797,2103859,C
137.14737248383733,91.50906849603722,46.42589044706323,195.56939622313303,168.8903433294627,102.23368201047425,2220463,2146860,C
137.66537563512702,92.34635621284596,47.26807322912941,195.0366078297465,169.59697458653054,102.64648995992151,2209750,2140888,C
151.2094639013076,104.13095689373596,50.14914901335781,213.35297091296172,185.23626643183584,118.30304116546306,2144874,1067778,C
151.1149822742233,104.0939287986034,49.8023435293113,212.648258336108,185.20085495165182,118.19133778050718,2132990,1043027,C
151.29869419140283,104.33716101264368,50.01790215742798,212.63014233440913,185.16246847113214,118.14873341130607,2115681,1031914,C
150.69597712516068,104.15359769522851,50.00994868881591,212.2221137622514,184.3631752714579,117.28742384205437,2095565,1029726,C
128.9031641584226,90.79568220517287,43.880237204991495,199.00348822651364,171.9504746989802,92.36598651393476,1773556,1948231,C
129.27433946789586,91.37125131171616,44.02107894553778,198.7861138902244,172.63176361675397,91.82173873551618,1749034,1865845,C
128.8388920015251,90.52735691103504,43.75335096156688,199.051300203771,172.62102333670202,91.66339856232541,1728257,1895184,C
128.50260392499317,90.47785346959972,43.858862174667436,199.65625404906336,172.9823075171783,92.18179537156519,1731726,1899302,C
141.7568097138886,98.85243083523564,38.019621953173356,208.46123438973842,183.22367283120263,113.27918130015902,1903080,1527898,C
146.2711910451042,79.47573741125659,42.321010543496726,211.2281721891622,160.56033578079885,103.15067925705078,2078013,1381791,C
146.54079074471167,79.72554367157993,42.34744910848155,210.90873193906702,160.18013703939226,102.64345331174772,2081654,1374633,C
146.94966061684286,80.04820149297868,42.17571055496068,210.65398041740931,159.8687741420939,102.44237866416466,2084304,1367939,C
146.75529113984194,79.85744389309406,42.544683105129536,210.43065556889954,159.71819041531396,102.8406303702403,2080374,1368739,C
147.23571124079763,79.92456889779159,42.47534062933636,210.7331669472698,159.72441972266185,102.42709367529864,2079621,1377881,C
151.29754696545416,103.66188824802823,47.787443797164926,207.79790186016191,158.39736585649266,91.87515877406115,1548791,1399536,C
151.0863592321072,103.89302507867825,47.945667257788045,207.87455142305345,158.40020884051455,92.01065720423765,1534127,1402562,C
151.33939139278374,103.97789532417382,47.744864111166606,207.6711063349143,158.58583418449305,91.69926985271853,1538142,1402978,C
156.96326599333955,104.15050843721653,61.1809938986325,203.5347517127055,156.1378301020442,95.72133500376772,2362879,2007614,C
151.38529737255558,103.21611301360252,55.30699695171742,204.35694840649825,158.78262430961462,106.61694465590334,3319885,1676008,C
150.68983745462305,102.62314452408029,55.85202478985775,201.98036408037632,156.8155379558176,104.80295862705856,3459559,1776975,C
145.3701485153356,98.05728000369757,52.7893448597439,198.95738410343867,152.64088633787327,99.77312380519658,3418271,1892730,C
146.84403047899545,82.60486288562493,43.20843985386097,216.38293708042332,164.45205946590832,103.9299387286076,2157228,1571136,C
147.12436246563175,82.40509655936293,42.86382970867258,215.95431622093528,164.14505831978295,102.80370361758418,2151120,1570784,C
147.49931419423532,82.99916008501371,42.93588956304413,216.44455981749957,164.5855184735475,102.9581185461442,2115059,1539456,C
147.3115358308496,82.76625645511506,42.479814745366674,216.2400077326244,164.2158071721091,102.86921501550118,2111445,1527649,C
147.402418408883,82.6072043563913,41.80625638812256,216.27190382637448,164.44724779948336,103.61397886103046,2109452,1528501,C
147.88719232983092,70.94247967758517,48.81893517199347,215.788405498646,160.42523430577668,122.74961042969917,2569076,1109101,C
146.49578240533015,111.87440012398714,49.75496560968432,207.27772418210344,189.30177734670886,120.00864485890918,1793733,1078921,C
146.50198912384178,112.18158973738015,49.9419893278501,207.22346776685998,189.26852899232915,119.45666865427484,1781539,1075780,C
144.85947118823304,110.64214479943246,51.41252171392716,205.05964286281755,186.97484108735932,117.24890393566768,1669360,981658,C
110.09534655660335,78.94454041062565,46.92849201604578,182.4934968115603,156.66883426141158,91.7404646795309,1425436,1229989,C
